date,Temperature,Humidity,CO2,HumidityRatio,Light,Occupancy
02-02-2015 17:30,22.6,25.1,854.75,0.0042553,433,1
02-02-2015 17:30,22.6,25.1,854.75,0.0042553,433,1
02-02-2015 17:30,22.6,25.1,854.75,0.0042553,433,1
02-02-2015 17:30,22.6,25.1,854.75,0.0042553,433,1
02-02-2015 17:30,22.6,25.1,854.75,0.0042553,433,1
02-02-2015 17:30,22.6,25.1,854.75,0.0042553,433,1
02-02-2015 17:30,22.6,25.1,854.75,0.0042553,433,1
02-02-2015 17:30,22.6,25.1,854.75,0.0042553,433,1
02-02-2015 17:30,22.6,25.1,854.75,0.0042553,433,1
02-02-2015 17:30,22.6,25.1,854.75,0.0042553,433,1
02-02-2015 17:30,22.6,25.1,854.75,0.0042553,433,1
02-02-2015 17:30,22.6,25.1,854.75,0.0042553,433,1
